trade_date,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2021-09-28,-0.2222222222222222,-0.25,-2.0
2021-09-29,0.7142857142857142,1.0,-2.0
2021-09-30,-0.45833333333333337,-0.6666666666666667,-1.0
2021-10-01,0.07692307692307687,-0.5,-inf
2021-10-04,0.2857142857142858,-1.0,-1.0
2021-10-06,0.4400000000001456,2.0,inf
2021-10-07,-0.37500000000006317,0.16666666666666674,0.75
2021-10-08,0.8888888888888888,1.2857142857142856,0.0714285714285714
2021-10-11,1.8823529411764706,1.125,0.8666666666666667
2021-10-12,0.4693877551020409,-0.17647058823529416,-0.1428571428571429
2021-10-13,0.9444444444444444,0.7142857142857142,0.75
2021-10-14,1.1142857142857143,-0.08333333333333337,0.5238095238095237
2021-10-15,1.4729729729729728,0.5454545454545454,0.59375
2021-10-18,4.7923497267759565,0.7352941176470589,-0.0980392156862745
2021-10-20,-0.9537735849056603,-0.09848484848484851,-0.28
2021-10-21,0.4285714285714286,0.24369747899159666,0.16666666666666674
2021-10-22,-0.2571428571428571,-0.2432432432432432,-0.1428571428571429
2021-10-25,0.21153846153846145,-0.1071428571428571,-0.375
2021-10-26,0.031746031746031855,0.0,-0.19999999999999996
2021-10-27,-0.15384615384615385,-0.28,-0.19444444444444442
2021-10-28,0.7272727272727273,1.5,1.0689655172413794
2021-10-29,0.7894736842105263,0.22222222222222232,0.03333333333333344
2021-11-01,0.6176470588235294,0.9272727272727272,1.2580645161290325
2021-11-02,-0.4181818181818182,-0.28301886792452835,-0.3142857142857143
2021-11-03,-0.1875,-0.36184210526315785,-0.375
2021-11-04,0.3846153846153846,0.38144329896907214,0.3999999999999999
2021-11-05,-0.05555555555555558,-0.25373134328358204,0.26190476190476186
2021-11-08,0.05882352941176472,0.19999999999999996,0.35849056603773577
2021-11-09,-0.16666666666666663,-0.20833333333333337,-0.36111111111111116
2021-11-10,-0.19999999999999996,-0.06315789473684208,-0.34782608695652173
2021-11-11,-0.08333333333333337,0.12359550561797761,0.3999999999999999
2021-11-12,-0.40909090909090906,0.10000000000000009,-0.2857142857142857
2021-11-15,-1.0769230769230769,-0.49090909090909096,-0.1333333333333333
2021-11-17,-2.8,-0.2222222222222222,-0.16923076923082525
2021-11-18,1.4444444444444446,3.2857142857142856,1.777777777777965
2021-11-19,0.9090909090909092,0.43333333333333335,0.3999999999999999
2021-11-22,0.30952380952380953,-0.06976744186046513,0.0
2021-11-23,0.1454545454545455,-0.35,-0.0714285714285714
2021-11-24,-0.2936507936507936,-0.32692307692307687,-0.33333333333333337
2021-11-25,0.5280898876404494,0.19999999999999996,-0.05769230769230771
2021-11-26,0.25,0.09523809523809534,0.18367346938775508
2021-11-29,-0.2588235294117647,-0.17391304347826086,0.06896551724137923
2021-11-30,-0.2063492063492064,0.10526315789473695,-0.09677419354838712
2021-12-01,-0.4,-0.23809523809523814,0.0
2021-12-02,0.3666666666666667,1.8125,0.5714285714285714
2021-12-03,-0.2682926829268293,-0.28888888888888886,-0.13636363636363635
2021-12-06,-0.5333333333333333,-0.03125,0.10526315789473695
2021-12-07,-0.8571428571428572,-0.6451612903225806,-0.26190476190476186
2021-12-08,-3.0,-0.5454545454545454,-0.33870967741935487
2021-12-09,0.0,0.0,0.07317073170731714
2021-12-10,0.0,-1.0,-0.2272727272727273
2021-12-13,2.5,-inf,-0.4117647058823529
2021-12-15,-2.428571428571429,2.0,1.6666666666666665
2021-12-16,-0.25,0.0,-0.20833333333333337
2021-12-17,0.30000000000000004,0.1333333333333333,0.21052631578947367
2021-12-20,-0.5384615384615384,-0.3529411764705882,-0.19565217391304346
2021-12-21,0.6666666666666667,0.4545454545454546,0.0
2021-12-22,-0.1333333333333333,0.25,0.1351351351351351
2021-12-23,-0.07692307692307687,-0.35,-0.19047619047619047
2021-12-24,0.20833333333333326,0.07692307692307687,0.1470588235294117
2021-12-29,0.4482758620689655,0.3571428571428572,0.17948717948717952
2021-12-30,-0.4285714285714286,-0.368421052631579,-0.13043478260869568
2021-12-31,-0.33333333333333337,-0.33333333333333337,-0.35
2022-01-04,0.0,0.0,0.0
2022-01-05,-0.875,-0.28125,-0.25
2022-01-06,-1.25,0.04347826086956519,-0.23076923076923073
2022-01-07,-21.0,1.1666666666666665,0.46666666666666656
2022-01-10,-1.9,-0.6923076923076923,-0.2727272727272727
2022-01-11,-0.5555555555555556,1.0,0.3125
2022-01-12,0.75,0.0,0.585714285714251
2022-01-13,0.7142857142857142,-0.125,-0.17417417417415615
2022-01-14,0.0,-0.0714285714285714,-0.1454545454545455
2022-01-17,-0.5,0.46153846153846145,0.1063829787234043
2022-01-19,-3.6666666666666665,1.2083333333333335,-0.02714932126690428
2022-01-20,0.125,0.13207547169811318,0.06976744186046502
2022-01-21,0.22222222222222232,0.2666666666666666,0.3913043478260869
2022-01-24,0.0,-0.02631578947368418,-0.09375
2022-01-25,-0.20454545454545459,-0.05405405405405406,0.0
2022-01-26,0.2571428571428571,0.1428571428571428,0.27586206896551735
2022-01-27,0.4545454545454546,0.1875,0.1351351351351351
2022-01-28,0.1875,-0.0736842105263158,-0.11904761904761907
2022-01-31,0.05263157894736836,0.045454545454545414,-0.08108108108108103
2022-02-01,-0.5,-0.17391304347826086,-0.23529411764705888
2022-02-02,-0.17500000000000004,0.21052631578947367,0.23076923076923084
2022-02-03,-0.1515151515151515,-0.06521739130434778,0.0
2022-02-04,0.0714285714285714,-0.2325581395348837,-0.1875
2022-02-07,-0.16666666666666663,0.030303030303030276,0.15384615384615374
2022-02-08,-0.84,0.07352941176470584,0.2333333333333334
2022-02-09,3.5,0.26027397260273966,0.18918918918918926
2022-02-10,0.7777777777777777,0.13043478260869557,0.09090909090909083
2022-02-11,-0.75,-0.34615384615384615,-0.1875
2022-02-14,9.5,0.38235294117647056,0.23076923076923084
2022-02-16,0.0,-0.013513513513513487,-0.050000000000000044
2022-02-17,0.1428571428571428,-0.04109589041095896,0.07894736842105265
2022-02-18,-0.08333333333333337,0.05714285714285716,0.14634146341463405
2022-02-21,0.045454545454545414,0.054054054054053946,-0.021276595744680882
2022-02-22,-0.07608695652173914,-0.02564102564102566,-0.021739130434782594
2022-02-23,-0.10588235294117643,0.026315789473684292,-0.11111111111111116
2022-02-24,0.07894736842105265,0.02564102564102555,0.0
2022-02-25,-0.14634146341463417,-0.025000000000000022,-0.09999999999999998
2022-02-28,-0.4285714285714286,-0.1282051282051282,-0.25
2022-03-01,0.1499999999999999,-0.2647058823529411,-0.03703703703703709
2022-03-02,-0.4130434782608695,0.040000000000000036,0.15384615384615374
2022-03-03,-0.2962962962962963,0.0,0.2333333333333334
2022-03-04,-0.052631578947368474,-0.42307692307692313,-0.05405405405405406
2022-03-07,-3.0,-2.0666666666666664,-0.8857142857142857
2022-03-08,0.7777777777777777,0.375,-3.25
2022-03-09,0.0625,-0.40909090909090906,-1.0
2022-03-10,0.11764705882352944,-0.23076923076923073,inf
2022-03-11,0.1578947368421053,1.0,-1.3333333333333333
2022-03-14,0.36363636363636354,0.050000000000000044,-1.0
2022-03-16,-1.1333333333333333,-1.7777777777777777,inf
2022-03-17,-1.125,-0.5714285714285714,0.0
2022-03-18,-3.0,0.6666666666666667,-0.17647058823529416
2022-03-21,0.0,-0.4,-0.4928571428572468
2022-03-22,-3.0,-1.8333333333333335,-0.5774647887323078
2022-03-23,-1.25,-2.8,0.6666666666666667
2022-03-24,-22.0,-2.666666666666667,-2.0
2022-03-25,-0.23809523809523814,-0.33333333333333337,0.0
2022-03-28,-0.9375,-0.8,-1.0
2022-03-29,-3.0,0.0,inf
2022-03-30,-3.0,1.0,0.5
2022-03-31,0.0,0.5,-1.6666666666666665
2022-04-01,1.25,0.0,0.0
2022-04-04,0.9444444444444444,0.33333333333333326,4.0
2022-04-05,0.02857142857142847,0.75,0.3999999999999999
2022-04-06,0.19444444444444442,0.0,-0.5
2022-04-07,-0.2558139534883721,0.0714285714285714,0.3571428571428572
2022-04-08,0.09375,0.10000000000000009,-0.21052631578947367
2022-04-11,-0.1428571428571429,-0.030303030303030276,0.2666666666666666
2022-04-12,-0.8666666666666667,-0.0625,0.0
2022-04-13,2.0,0.0,0.05263157894736836
2022-04-14,1.0,-0.09999999999999998,-0.050000000000000044
2022-04-20,0.5416666666666667,-0.02941176470588236,-0.5714285714285714
2022-04-21,-0.2702702702702703,-0.21212121212121215,-0.5
2022-04-22,-0.18518518518518523,-0.23076923076923073,0.16666666666666674
2022-04-25,-1.9090909090909092,-0.6,0.11428571428612999
2022-04-26,-0.9,0.25,-0.3589743589745982
2022-04-27,9.0,-1.4,-1.8
2022-04-28,-0.30000000000000004,-3.0,-1.0
2022-04-29,-0.1428571428571429,-0.25,-inf
2022-05-03,-0.33333333333333337,0.6666666666666667,0.5
2022-05-04,-1.0,0.19999999999999996,0.0
2022-05-05,inf,-3.3333333333333335,-4.0
2022-05-06,-1.0357142857142858,-1.0,-0.8888888888888888
2022-05-09,-17.0,inf,1.0
2022-05-10,-0.25,1.3636363636363638,0.75
2022-05-11,1.6666666666666665,0.5384615384615385,0.4285714285714286
2022-05-12,0.0,-0.4,-0.5
2022-05-13,1.125,0.5,0.6000000000000001
2022-05-18,-0.7058823529411764,-0.5294117647058824,-0.22999999999992726
2022-05-19,0.6000000000000001,1.25,0.4285714285712936
2022-05-20,0.25,-0.4444444444444444,-0.09090909090909094
2022-05-23,0.30000000000000004,-0.19999999999999996,0.0
2022-05-24,-0.8076923076923077,-0.9375,-0.55
2022-05-25,-0.4,-3.0,-1.4444444444444444
